Email_address,First_name,Last_name,Course_id,Grade,Marks
samina@gmail.com,Kazi,Mumu,018324098,A,95.00
s_wqhs6cpq@example.com,First,Last,DATA200,A,99.99
s_i4tbx4ln@example.com,First,Last,DATA200,A,93.15
s_be2yri6t@example.com,First,Last,DATA200,A,88.70
s_jmjbxkah@example.com,First,Last,DATA200,A,88.70
s_ka7e7f8o@example.com,First,Last,DATA200,A,69.27
s_pfdn7p5s@example.com,First,Last,DATA200,A,81.79
s_n9rcoi30@example.com,First,Last,DATA200,A,66.29
s_60mu4z0g@example.com,First,Last,DATA200,A,88.64
s_1b7p6p1v@example.com,First,Last,DATA200,A,98.08
s_r66m99q3@example.com,First,Last,DATA200,A,60.72
s_fw6nnmza@example.com,First,Last,DATA200,A,92.27
s_6zxz2kha@example.com,First,Last,DATA200,A,71.80
s_sntsplvv@example.com,First,Last,DATA200,A,76.49
s_14e479m2@example.com,First,Last,DATA200,A,56.54
s_dsuh9wie@example.com,First,Last,DATA200,A,80.49
s_pkjideu7@example.com,First,Last,DATA200,A,98.09
s_5ef3e2lo@example.com,First,Last,DATA200,A,89.84
s_uumcp0dg@example.com,First,Last,DATA200,A,51.66
s_l67jl8z7@example.com,First,Last,DATA200,A,96.22
s_pqfjy5on@example.com,First,Last,DATA200,A,62.28
s_xg3uiarh@example.com,First,Last,DATA200,A,84.94
s_z4y50mxq@example.com,First,Last,DATA200,A,76.95
s_oonh7kbd@example.com,First,Last,DATA200,A,94.70
s_v4a41dll@example.com,First,Last,DATA200,A,99.76
s_b9tyfcaf@example.com,First,Last,DATA200,A,65.53
s_iuws5a0b@example.com,First,Last,DATA200,A,72.86
s_r0vbq535@example.com,First,Last,DATA200,A,87.59
s_wfdajmzh@example.com,First,Last,DATA200,A,72.80
s_v0ea98en@example.com,First,Last,DATA200,A,95.90
s_l84k32hz@example.com,First,Last,DATA200,A,73.11
s_pn7nncnu@example.com,First,Last,DATA200,A,71.69
s_3rw4mpmn@example.com,First,Last,DATA200,A,56.76
s_3v9um6br@example.com,First,Last,DATA200,A,64.78
s_8uk3ep0a@example.com,First,Last,DATA200,A,88.87
s_r9kdz719@example.com,First,Last,DATA200,A,80.35
s_kpn09jow@example.com,First,Last,DATA200,A,52.23
s_m37eoany@example.com,First,Last,DATA200,A,72.66
s_k4an08x9@example.com,First,Last,DATA200,A,57.29
s_9c8f10b7@example.com,First,Last,DATA200,A,64.93
s_tqu0uti5@example.com,First,Last,DATA200,A,78.50
s_s2yhbs9l@example.com,First,Last,DATA200,A,79.95
s_81zm67be@example.com,First,Last,DATA200,A,59.78
s_7ev3n7e7@example.com,First,Last,DATA200,A,73.31
s_6c35erfz@example.com,First,Last,DATA200,A,61.97
s_5iz2b6ch@example.com,First,Last,DATA200,A,71.93
s_bp0p3hu4@example.com,First,Last,DATA200,A,94.64
s_aaesa9s0@example.com,First,Last,DATA200,A,82.12
s_k7rs5qb7@example.com,First,Last,DATA200,A,78.97
s_0bh1q4y6@example.com,First,Last,DATA200,A,74.75
s_ct0z0wpf@example.com,First,Last,DATA200,A,91.40
s_iquyax3q@example.com,First,Last,DATA200,A,53.78
s_grzc83g6@example.com,First,Last,DATA200,A,83.76
s_oxf6xvqp@example.com,First,Last,DATA200,A,50.20
